"ID" "item" "session" "res" "correct" "type" "trial" "RT" "score" "origin" "quality" "group" "twice"
"4c9d584d" "guta8guta8" 1 0 1 "guta" "same" 3350 0.75 "native" "good" 5 FALSE
"4c9d584d" "guta1guta8" 1 1 1 "guta" "diff" 3738 0.75 "native" "good" 5 FALSE
"4c9d584d" "lita1lita1" 1 0 1 "lita" "same" 2996 0.75 "native" "good" 5 FALSE
"4c9d584d" "lita8lita8" 1 0 1 "lita" "same" 3159 0.75 "native" "good" 5 FALSE
"4c9d584d" "lita8lita1" 1 1 1 "lita" "diff" 3690 0.75 "native" "good" 5 FALSE
"4c9d584d" "lita1lita8" 1 1 1 "lita" "diff" 3086 0.75 "native" "good" 5 FALSE
"11444da2" "guta1guta8" 0 0 0 "guta" "diff" 2832 0.875 "native" "good" 5 FALSE
"11444da2" "guta1guta1" 0 0 1 "guta" "same" 2888 0.875 "native" "good" 5 FALSE
"11444da2" "guta8guta1" 0 0 0 "guta" "diff" 2892 0.875 "native" "good" 5 FALSE
"11444da2" "guta8guta8" 0 0 1 "guta" "same" 2779 0.875 "native" "good" 5 FALSE
"11444da2" "lita8lita8" 0 0 1 "lita" "same" 4218 0.875 "native" "good" 5 FALSE
"11444da2" "lita8lita1" 0 0 0 "lita" "diff" 3744 0.875 "native" "good" 5 FALSE
"11444da2" "lita1lita8" 0 1 1 "lita" "diff" 2595 0.875 "native" "good" 5 FALSE
"11444da2" "lita1lita1" 0 0 1 "lita" "same" 2683 0.875 "native" "good" 5 FALSE
"11444da2" "guta1guta1" 1 0 1 "guta" "same" 3566 0.875 "native" "good" 5 FALSE
"11444da2" "guta1guta8" 1 0 0 "guta" "diff" 2543 0.875 "native" "good" 5 FALSE
"11444da2" "guta8guta8" 1 0 1 "guta" "same" 2441 0.875 "native" "good" 5 FALSE
"11444da2" "guta8guta1" 1 0 0 "guta" "diff" 2673 0.875 "native" "good" 5 FALSE
"11444da2" "lita1lita1" 1 0 1 "lita" "same" 2442 0.875 "native" "good" 5 FALSE
"11444da2" "lita8lita1" 1 0 0 "lita" "diff" 3093 0.875 "native" "good" 5 FALSE
"11444da2" "lita8lita8" 1 0 1 "lita" "same" 2597 0.875 "native" "good" 5 FALSE
"11444da2" "lita1lita8" 1 0 0 "lita" "diff" 2961 0.875 "native" "good" 5 FALSE
"fa736a06" "guta8guta8" 0 0 1 "guta" "same" 3962 1 "native" "good" 5 FALSE
"fa736a06" "guta1guta8" 0 0 0 "guta" "diff" 3631 1 "native" "good" 5 FALSE
"fa736a06" "guta1guta1" 0 0 1 "guta" "same" 3488 1 "native" "good" 5 FALSE
"fa736a06" "guta8guta1" 0 0 0 "guta" "diff" 4021 1 "native" "good" 5 FALSE
"fa736a06" "lita8lita1" 0 0 0 "lita" "diff" 3326 1 "native" "good" 5 FALSE
"fa736a06" "lita1lita1" 0 0 1 "lita" "same" 3675 1 "native" "good" 5 FALSE
"fa736a06" "lita8lita8" 0 0 1 "lita" "same" 4508 1 "native" "good" 5 FALSE
"fa736a06" "lita1lita8" 0 0 0 "lita" "diff" 4430 1 "native" "good" 5 FALSE
"fa736a06" "guta1guta8" 1 1 1 "guta" "diff" 3717 1 "native" "good" 5 FALSE
"fa736a06" "guta1guta1" 1 0 1 "guta" "same" 3024 1 "native" "good" 5 FALSE
"fa736a06" "guta8guta1" 1 1 1 "guta" "diff" 3358 1 "native" "good" 5 FALSE
"fa736a06" "guta8guta8" 1 0 1 "guta" "same" 3866 1 "native" "good" 5 FALSE
"fa736a06" "lita1lita1" 1 0 1 "lita" "same" 3461 1 "native" "good" 5 FALSE
"fa736a06" "lita1lita8" 1 1 1 "lita" "diff" 4385 1 "native" "good" 5 FALSE
"fa736a06" "lita8lita1" 1 1 1 "lita" "diff" 4242 1 "native" "good" 5 FALSE
"fa736a06" "lita8lita8" 1 0 1 "lita" "same" 3078 1 "native" "good" 5 FALSE
"1b535361" "guta8guta1" 0 0 0 "guta" "diff" 2958 1 "native" "good" 5 FALSE
"1b535361" "guta1guta8" 0 0 0 "guta" "diff" 3172 1 "native" "good" 5 FALSE
"1b535361" "guta8guta8" 0 0 1 "guta" "same" 2752 1 "native" "good" 5 FALSE
"1b535361" "guta1guta1" 0 0 1 "guta" "same" 2850 1 "native" "good" 5 FALSE
"1b535361" "lita1lita8" 0 0 0 "lita" "diff" 2961 1 "native" "good" 5 FALSE
"1b535361" "lita8lita1" 0 1 1 "lita" "diff" 2920 1 "native" "good" 5 FALSE
"1b535361" "lita8lita8" 0 0 1 "lita" "same" 2926 1 "native" "good" 5 FALSE
"1b535361" "lita1lita1" 0 0 1 "lita" "same" 4250 1 "native" "good" 5 FALSE
"1b535361" "guta1guta1" 1 0 1 "guta" "same" 2707 1 "native" "good" 5 FALSE
"1b535361" "guta8guta8" 1 0 1 "guta" "same" 2623 1 "native" "good" 5 FALSE
"1b535361" "guta8guta1" 1 1 1 "guta" "diff" 2708 1 "native" "good" 5 FALSE
"1b535361" "guta1guta8" 1 1 1 "guta" "diff" 2730 1 "native" "good" 5 FALSE
"1b535361" "lita8lita8" 1 0 1 "lita" "same" 2611 1 "native" "good" 5 FALSE
"1b535361" "lita1lita1" 1 0 1 "lita" "same" 2346 1 "native" "good" 5 FALSE
"1b535361" "lita1lita8" 1 0 0 "lita" "diff" 2100 1 "native" "good" 5 FALSE
"1b535361" "lita8lita1" 1 1 1 "lita" "diff" 2746 1 "native" "good" 5 FALSE
"51797608" "guta1guta8" 0 1 1 "guta" "diff" 2148 0.625 "native" "good" 5 FALSE
"51797608" "guta1guta1" 0 1 0 "guta" "same" 2308 0.625 "native" "good" 5 FALSE
"51797608" "guta8guta1" 0 1 1 "guta" "diff" 1849 0.625 "native" "good" 5 FALSE
"51797608" "guta8guta8" 0 1 0 "guta" "same" 2895 0.625 "native" "good" 5 FALSE
"51797608" "lita1lita8" 0 1 1 "lita" "diff" 1464 0.625 "native" "good" 5 FALSE
"51797608" "lita8lita8" 0 1 0 "lita" "same" 2375 0.625 "native" "good" 5 FALSE
"51797608" "lita8lita1" 0 1 1 "lita" "diff" 1799 0.625 "native" "good" 5 FALSE
"51797608" "lita1lita1" 0 0 1 "lita" "same" 7358 0.625 "native" "good" 5 FALSE
"51797608" "guta1guta1" 1 0 1 "guta" "same" 4016 0.625 "native" "good" 5 FALSE
"51797608" "guta1guta8" 1 0 0 "guta" "diff" 3278 0.625 "native" "good" 5 FALSE
"51797608" "guta8guta1" 1 0 0 "guta" "diff" 2893 0.625 "native" "good" 5 FALSE
"51797608" "guta8guta8" 1 0 1 "guta" "same" 2659 0.625 "native" "good" 5 FALSE
"51797608" "lita8lita8" 1 0 1 "lita" "same" 2980 0.625 "native" "good" 5 FALSE
"51797608" "lita1lita8" 1 0 0 "lita" "diff" 3073 0.625 "native" "good" 5 FALSE
"51797608" "lita8lita1" 1 0 0 "lita" "diff" 3777 0.625 "native" "good" 5 FALSE
"51797608" "lita1lita1" 1 0 1 "lita" "same" 2672 0.625 "native" "good" 5 FALSE
"3e6d4081" "guta8guta8" 0 0 1 "guta" "same" 3464 1 "native" "good" 5 FALSE
"3e6d4081" "guta1guta1" 0 0 1 "guta" "same" 3079 1 "native" "good" 5 FALSE
"3e6d4081" "guta1guta8" 0 0 0 "guta" "diff" 3738 1 "native" "good" 5 FALSE
"3e6d4081" "guta8guta1" 0 0 0 "guta" "diff" 4542 1 "native" "good" 5 FALSE
"3e6d4081" "lita1lita8" 0 0 0 "lita" "diff" 3464 1 "native" "good" 5 FALSE
"3e6d4081" "lita8lita1" 0 0 0 "lita" "diff" 4706 1 "native" "good" 5 FALSE
"3e6d4081" "lita1lita1" 0 0 1 "lita" "same" 3534 1 "native" "good" 5 FALSE
"3e6d4081" "lita8lita8" 0 0 1 "lita" "same" 3505 1 "native" "good" 5 FALSE
"3e6d4081" "guta1guta1" 1 0 1 "guta" "same" 3231 1 "native" "good" 5 FALSE
"3e6d4081" "guta8guta1" 1 1 1 "guta" "diff" 3198 1 "native" "good" 5 FALSE
"3e6d4081" "guta1guta8" 1 1 1 "guta" "diff" 3195 1 "native" "good" 5 FALSE
"3e6d4081" "guta8guta8" 1 0 1 "guta" "same" 3468 1 "native" "good" 5 FALSE
"3e6d4081" "lita8lita8" 1 1 0 "lita" "same" 3168 1 "native" "good" 5 FALSE
"3e6d4081" "lita1lita8" 1 1 1 "lita" "diff" 3181 1 "native" "good" 5 FALSE
"3e6d4081" "lita1lita1" 1 0 1 "lita" "same" 3609 1 "native" "good" 5 FALSE
"3e6d4081" "lita8lita1" 1 1 1 "lita" "diff" 3301 1 "native" "good" 5 FALSE
"7d2472fb" "guta1guta8" 0 1 1 "guta" "diff" 3779 1 "native" "good" 5 FALSE
"7d2472fb" "guta8guta1" 0 1 1 "guta" "diff" 7769 1 "native" "good" 5 FALSE
"7d2472fb" "guta8guta8" 0 0 1 "guta" "same" 3513 1 "native" "good" 5 FALSE
"7d2472fb" "guta1guta1" 0 0 1 "guta" "same" 3130 1 "native" "good" 5 FALSE
"7d2472fb" "lita1lita1" 0 0 1 "lita" "same" 3743 1 "native" "good" 5 FALSE
"7d2472fb" "lita8lita1" 0 1 1 "lita" "diff" 3514 1 "native" "good" 5 FALSE
"7d2472fb" "lita1lita8" 0 1 1 "lita" "diff" 3585 1 "native" "good" 5 FALSE
"7d2472fb" "lita8lita8" 0 0 1 "lita" "same" 7722 1 "native" "good" 5 FALSE
"7d2472fb" "guta8guta8" 1 0 1 "guta" "same" 2995 1 "native" "good" 5 FALSE
"7d2472fb" "guta8guta1" 1 1 1 "guta" "diff" 3082 1 "native" "good" 5 FALSE
"7d2472fb" "guta1guta8" 1 1 1 "guta" "diff" 3084 1 "native" "good" 5 FALSE
"7d2472fb" "guta1guta1" 1 0 1 "guta" "same" 2978 1 "native" "good" 5 FALSE
"7d2472fb" "lita1lita1" 1 0 1 "lita" "same" 2821 1 "native" "good" 5 FALSE
